fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230923 204550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	710	TRUE	279523	0.2999747805799	0.998074820430191	3848	460	13720	534800000	68
20230923 214653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4301	TRUE	279523	0.0189026935291189	0.995857182273838	149	547	14998	619955000	69
20230923 220706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1350	TRUE	279523	0.0589578393989987	0.921168500471485	10	521	14993	614390000	70
20230923 221610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	929	TRUE	279523	0.299766188370409	0.852959315883844	7376	812	14999	533995000	71
20230924 001018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5841	TRUE	279523	0.0104133748970168	0.449190612295573	81	1024	14990	622790000	72
20230924 011757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3388	TRUE	279523	0.0245406908768305	0.549332256568642	470	1023	15000	612360000	73
20230924 012940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	884	TRUE	279523	0.252105076489854	0.720982618224737	4234	630	14925	557725000	74
20230924 013116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	279523	0.299997194828276	0.221185832059437	7432	16	13238	352275000	75
20230924 020130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1884	TRUE	279523	0.048609093086926	0.775977019445357	518	555	14922	625240000	76
20230924 025115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2817	TRUE	279523	0.0308728888870962	0.439600106831379	256	605	14984	621740000	77
20230924 041139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4312	TRUE	279523	0.0149037595645345	0.53990496983993	2	967	15000	617960000	78
20230924 042552	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	956	TRUE	279523	0.189339048154065	0.582022955089134	2384	657	13015	536655000	79
20230924 044759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1463	TRUE	279523	0.0979185474274818	0.386978361870622	1092	609	14935	595455000	80
20230924 052744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2510	TRUE	279523	0.0367986685233135	0.97873950002317	1213	525	14983	580580000	81
20230924 053748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	761	TRUE	279523	0.270485182309527	0.398608912076102	2958	475	14996	549955000	82
20230924 060555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1833	TRUE	279523	0.0620306642432475	0.498869055178083	1917	839	14999	561155000	83
20230924 063027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1962	TRUE	279523	0.0522573786874514	0.287881652711953	293	414	13238	571235000	84
20230924 065435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1563	TRUE	279523	0.0759840266902306	0.7689040253274	722	678	14999	614355000	85
20230924 071651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2176	TRUE	279523	0.121704330186265	0.999125799176361	5693	650	14992	566510000	86
20230924 082005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3395	TRUE	279523	0.0144949307020312	0.344247838951898	51	1024	13274	578270000	87
20230924 083356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	779	TRUE	279523	0.104531241961751	0.998391557745175	677	629	13974	592970000	88
20230924 085604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1892	TRUE	279523	0.139499204252219	0.45858064485474	7996	771	14993	531230000	89
20230924 090449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	739	TRUE	279523	0.299745958422173	0.975144374187485	3930	1023	14999	559195000	90
20230924 103206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9854	TRUE	279523	0.010330863482725	0.201728745072811	7996	867	14989	458465000	91
20230924 105327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2191	TRUE	279523	0.0928093825114987	0.972453190957168	7996	213	15000	529760000	92
20230924 105432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	279523	0.299910630497496	0.396495627037944	371	16	10014	258930000	93
20230924 110415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	693	TRUE	279523	0.285465418260409	0.66072119299478	1699	926	14447	567805000	94
20230924 110828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	367	TRUE	279523	0.19076146640184	0.522568616814105	7956	22	14999	403235000	95
20230924 113308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1539	TRUE	279523	0.0912967363279893	0.34324275738888	758	998	14355	584115000	96
20230924 115028	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1295	TRUE	279523	0.133789552627491	0.264568305380611	1662	816	14996	568995000	97
20230924 121243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1294	TRUE	279523	0.097093424291368	0.618856685225952	887	785	12900	557060000	98
20230924 122335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1055	TRUE	279523	0.26291967733748	0.883665219192909	7996	514	12828	497945000	99
20230924 131305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1838	TRUE	279523	0.0443304506619713	0.699403921241248	363	636	14934	629930000	100
20230924 133643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1995	TRUE	279523	0.0897463882729449	0.786975190701236	7973	707	14995	518315000	101
20230924 134954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	784	TRUE	279523	0.18397896925995	0.990236539529299	1008	593	9752	479150000	102
20230924 140252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1037	TRUE	279523	0.132880033941427	0.99903935843967	3739	575	11459	500815000	103
20230924 155442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9811	TRUE	279523	0.0100363839526223	0.328792596831263	7627	200	14933	472850000	104
20230924 161207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1591	TRUE	279523	0.187368033756418	0.710584375830134	7757	1024	14998	547995000	105
20230924 162430	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1146	TRUE	279523	0.258517345487291	0.997240677038558	7853	1023	14999	538195000	106
20230924 164500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2077	TRUE	279523	0.099017927539216	0.216091687320736	5383	1024	14994	521150000	107
20230924 170458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2009	TRUE	279523	0.132246495661061	0.881185656770301	7995	1009	14965	542325000	108
20230924 172833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1708	TRUE	279523	0.089994278195154	0.754834447663869	4065	181	14790	555590000	109
20230924 173542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	532	TRUE	279523	0.283282117147457	0.471681804607806	6040	1024	15000	507640000	110
20230924 181733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3023	TRUE	279523	0.0290198284252901	0.284203287269587	1	579	11063	525420000	111
20230924 184311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1585	TRUE	279523	0.0588526181460038	0.728185072389496	529	609	14932	620970000	112
20230924 190348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1121	TRUE	279523	0.094094890207166	0.979068352176547	760	726	14995	602035000	113
20230924 191452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	768	TRUE	279523	0.173774579887702	0.429207356701419	4612	831	14996	521955000	114
20230924 195149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2434	TRUE	279523	0.0299710416218066	0.729007530000206	36	656	14937	618415000	115
20230924 204405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6469	TRUE	279523	0.0255094301232785	0.885695510629385	17	218	14378	610855000	116
20230924 205833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1431	TRUE	279523	0.206201397699581	0.999781101788713	6949	801	13981	540820000	117
20230924 212109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2125	TRUE	279523	0.0853349746910207	0.696248490461508	2031	181	13630	567910000	118
20230924 220524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2706	TRUE	279523	0.0446640439530209	0.525615121967369	458	631	14998	621635000	119
20230924 221741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	979	TRUE	279523	0.253459883995819	0.284677751348997	3113	225	12736	512295000	120
